# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2016
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   4  ,  University of Cambridge  , UK    
   7  ,  University of Oxford  , UK    
   17  ,  University College London  , UK    
   19  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   22  ,  Imperial College London  , UK    
   30  ,  University of Copenhagen  , Denmark    
   35  ,  University of Manchester  , UK    
   39  ,  University Pierre et Marie Curie (Paris VI)  , France    
   41  ,  University of Edinburgh  , UK    
   44  ,  Karolinska Institute  , Sweden    
   46  ,  University Paris Sud (Paris XI)  , France    
   47  ,  University of Heidelberg  , Germany    
   47  ,  Technical University of München  , Germany    
   50  ,  King&rsquo;s College London  , UK    
   51  ,  University of München  , Germany    
   53  ,  University of Geneva  , Switzerland    
   54  ,  University of Zurich  , Switzerland    
   56  ,  University of Helsinki  , Finland    
   57  ,  University of Bristol  , UK    
   60  ,  Uppsala University  , Sweden    
   62  ,  University of Gent  , Belgium    
   65  ,  Aarhus University  , Denmark    
   65  ,  Utrecht University  , Netherlands    
   67  ,  University of Oslo  , Norway    
   69  ,  Technion - Israel Institute of Technology  , Israel    
   72  ,  University of Groningen  , Netherlands    
   81  ,  Stockholm University  , Sweden    
   87  ,  Ecole Normale Supérieure de Paris  , France    
   87  ,  Hebrew University of Jerusalem  , Israel    
   87  ,  Moscow State University  , Russia    
   92  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   93  ,  Catholic University of Leuven  , Belgium    
   93  ,  University of Leiden  , Netherlands    
   101-150  ,  University of Basel  , Switzerland    
   101-150  ,  University of Bern  , Switzerland    
   101-150  ,  University of Freiburg  , Germany    
   101-150  ,  University of Göttingen  , Germany    
   101-150  ,  University of Frankfurt am Main  , Germany    
   101-150  ,  University of Bonn  , Germany    
   101-150  ,  University of Münster  , Germany    
   101-150  ,  University Denis Diderot (Paris VII)  , France    
   101-150  ,  Weizmann Institute of Science  , Israel    
   101-150  ,  Erasmus University Rotterdam  , Netherlands    
   101-150  ,  VU University Amsterdam  , Netherlands    
   101-150  ,  Radboud University of Nijmegen  , Netherlands    
   101-150  ,  University of Amsterdam  , Netherlands    
   101-150  ,  Wageningen University & Research Center  , Netherlands    
   101-150  ,  Norwegian University of Science and Technology  , Norway    
   101-150  ,  Lund University  , Sweden    
   101-150  ,  Cardiff University  , UK    
   101-150  ,  University of Birmingham  , UK    
   101-150  ,  University of Leeds  , UK    
   101-150  ,  University of Liverpool  , UK    
   101-150  ,  University of Nottingham  , UK    
   101-150  ,  University of Sheffield  , UK    
   101-150  ,  University of Southampton  , UK    
