# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2017
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   3  ,  University of Cambridge  , UK    
   7  ,  University of Oxford  , UK    
   16  ,  University College London  , UK    
   19  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   27  ,  Imperial College London  , UK    
   30  ,  University of Copenhagen  , Denmark    
   32  ,  University of Edinburgh  , UK    
   38  ,  University of Manchester  , UK    
   40  ,  University Pierre et Marie Curie (Paris VI)  , France    
   41  ,  University Paris Sud (Paris XI)  , France    
   42  ,  University of Heidelberg  , Germany    
   44  ,  Karolinska Institute  , Sweden    
   46  ,  King&rsquo;s College London  , UK    
   47  ,  Utrecht University  , Netherlands    
   50  ,  Technical University of München  , Germany    
   56  ,  University of Helsinki  , Finland    
   57  ,  University of München  , Germany    
   58  ,  University of Zurich  , Switzerland    
   59  ,  University of Groningen  , Netherlands    
   60  ,  University of Geneva  , Switzerland    
   61  ,  University of Bristol  , UK    
   62  ,  University of Oslo  , Norway    
   63  ,  Uppsala University  , Sweden    
   65  ,  Aarhus University  , Denmark    
   69  ,  University of Gent  , Belgium    
   69  ,  Ecole Normale Supérieure de Paris  , France    
   73  ,  Erasmus University Rotterdam  , Netherlands    
   74  ,  Stockholm University  , Sweden    
   76  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   88  ,  University of Leiden  , Netherlands    
   90  ,  Catholic University of Leuven  , Belgium    
   93  ,  Technion - Israel Institute of Technology  , Israel    
   93  ,  Moscow State University  , Russia    
   95  ,  University of Basel  , Switzerland    
   95  ,  University of Göttingen  , Germany    
   99  ,  Cardiff University  , UK    
   101-150  ,  Catholic University of Louvain  , Belgium    
   101-150  ,  University of Bern  , Switzerland    
   101-150  ,  University of Freiburg  , Germany    
   101-150  ,  University of Frankfurt am Main  , Germany    
   101-150  ,  University of Bonn  , Germany    
   101-150  ,  University Denis Diderot (Paris VII)  , France    
   101-150  ,  Hebrew University of Jerusalem  , Israel    
   101-150  ,  Weizmann Institute of Science  , Israel    
   101-150  ,  VU University Amsterdam  , Netherlands    
   101-150  ,  Radboud University of Nijmegen  , Netherlands    
   101-150  ,  University of Amsterdam  , Netherlands    
   101-150  ,  Wageningen University & Research Center  , Netherlands    
   101-150  ,  Norwegian University of Science and Technology  , Norway    
   101-150  ,  Lund University  , Sweden    
   101-150  ,  University of Birmingham  , UK    
   101-150  ,  University of Glasgow  , UK    
   101-150  ,  University of Leeds  , UK    
   101-150  ,  University of Liverpool  , UK    
   101-150  ,  University of Nottingham  , UK    
   101-150  ,  University of Sheffield  , UK    
   101-150  ,  University of Southampton  , UK    
   101-150  ,  University of Warwick  , UK    
   101-150  ,  University of Strasbourg  , France    
   101-150  ,  Aix-Marseille University  , France    
   151-200  ,  University of Innsbruck  , Austria    
   151-200  ,  University of Vienna  , Austria    
   151-200  ,  Université Libre de Bruxelles  , Belgium    
   151-200  ,  University of Lausanne  , Switzerland    
   151-200  ,  University of Würzburg  , Germany    
   151-200  ,  University of Kiel  , Germany    
   151-200  ,  University of Tübingen  , Germany    
   151-200  ,  University of Erlangen-Nürnberg  , Germany    
   151-200  ,  Technical University of Dresden  , Germany    
   151-200  ,  University of Hamburg  , Germany    
   151-200  ,  University of Leipzig  , Germany    
   151-200  ,  University of Münster  , Germany    
   151-200  ,  Technical University of Denmark  , Denmark    
   151-200  ,  University René Descartes (Paris V)  , France    
   151-200  ,  Trinity College Dublin  , Ireland    
   151-200  ,  Tel Aviv University  , Israel    
   151-200  ,  University of Padua  , Italy    
   151-200  ,  University of Rome - La Sapienza  , Italy    
   151-200  ,  Delft University of Technology  , Netherlands    
   151-200  ,  University of Lisbon  , Portugal    
   151-200  ,  Göteborg University  , Sweden    
   151-200  ,  London School of Economics  , UK    
   151-200  ,  Queen Mary - University of London  , UK    
   151-200  ,  University of Exeter  , UK    
   151-200  ,  University of Bordeaux  , France    
   151-200  ,  Grenoble Alpes University  , France    
   201-300  ,  Medical University of Vienna  , Austria    
   201-300  ,  University of Antwerp  , Belgium    
   201-300  ,  Vrije Universiteit Brussel  , Belgium    
   201-300  ,  Charles University Prague  , Czech Republic    
   201-300  ,  University of Jena  , Germany    
   201-300  ,  University of Mainz  , Germany    
   201-300  ,  University of Bochum  , Germany    
   201-300  ,  University of Cologne  , Germany    
   201-300  ,  University of Ulm  , Germany    
   201-300  ,  Aalborg University  , Denmark    
   201-300  ,  University of Granada  , Spain    
   201-300  ,  University Pompeu Fabra  , Spain    
   201-300  ,  University of Barcelona  , Spain    
   201-300  ,  Ecole Normale Supérieure de Lyon  , France    
   201-300  ,  University Claude Bernard - Lyon I  , France    
   201-300  ,  University Paul Sabatier - Toulouse III  , France    
   201-300  ,  Polytechnic University of Milan  , Italy    
   201-300  ,  University of Bologna  , Italy    
   201-300  ,  University of Milan  , Italy    
   201-300  ,  University of Pisa  , Italy    
   201-300  ,  University of Turin  , Italy    
   201-300  ,  University of Maastricht  , Netherlands    
   201-300  ,  University of Bergen  , Norway    
   201-300  ,  Chalmers University of Technology  , Sweden    
   201-300  ,  Linkoping University  , Sweden    
   201-300  ,  KTH - Royal Institute of Technology  , Sweden    
   201-300  ,  Swedish University of Agricultural Sciences  , Sweden    
   201-300  ,  London School of Hygiene & Tropical Medicine  , UK    
   201-300  ,  University of Aberdeen  , UK    
   201-300  ,  University of Dundee  , UK    
   201-300  ,  University of Durham  , UK    
   201-300  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   201-300  ,  University of Reading  , UK    
   201-300  ,  University of Sussex  , UK    
   201-300  ,  University of York  , UK    
   201-300  ,  University of Belgrade  , Serbia    
