# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2011
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   5  ,  University of Cambridge  , UK    
   401-500  ,  University of Versailles Saint-Quentin-en-Yvelines  , France    
   401-500  ,  University of Zagreb  , Croatia    
   401-500  ,  University of Haifa  , Israel    
   401-500  ,  Catholic University of the Sacred Heart  , Italy    
   401-500  ,  Polytechnic University of Turin  , Italy    
   401-500  ,  University of Bari  , Italy    
   401-500  ,  University of Ferrara  , Italy    
   401-500  ,  University of Milan - Bicocca  , Italy    
   401-500  ,  University of Parma  , Italy    
   401-500  ,  University of Pavia  , Italy    
   401-500  ,  University of Perugia  , Italy    
   401-500  ,  University of Siena  , Italy    
   401-500  ,  Tilburg University  , Netherlands    
   401-500  ,  University of Tromso  , Norway    
   401-500  ,  University of Lisbon  , Portugal    
   401-500  ,  Linkoping University  , Sweden    
   401-500  ,  University of Ljubljana  , Slovenia    
   401-500  ,  London School of Hygiene & Tropical Medicine  , UK    
   401-500  ,  Open University  , UK    
   401-500  ,  University of Essex  , UK    
   401-500  ,  University of Surrey  , UK    
   401-500  ,  University of Jyvaskyla  , Finland    
   401-500  ,  University of Eastern Finland  , Finland    
