# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2010
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   5  ,  University of Cambridge  , UK    
   10  ,  University of Oxford  , UK    
   21  ,  University College London  , UK    
   23  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   26  ,  Imperial College London  , UK    
   39  ,  University Pierre et Marie Curie (Paris VI)  , France    
   40  ,  University of Copenhagen  , Denmark    
   42  ,  Karolinska Institute  , Sweden    
   44  ,  University of Manchester  , UK    
   45  ,  University Paris Sud (Paris XI)  , France    
   50  ,  Utrecht University  , Netherlands    
   51  ,  University of Zurich  , Switzerland    
   52  ,  University of München  , Germany    
   54  ,  University of Edinburgh  , UK    
   56  ,  Technical University of München  , Germany    
   63  ,  University of Heidelberg  , Germany    
   63  ,  King&rsquo;s College London  , UK    
   66  ,  Uppsala University  , Sweden    
   66  ,  University of Bristol  , UK    
   70  ,  University of Leiden  , Netherlands    
   71  ,  Ecole Normale Supérieure de Paris  , France    
   72  ,  University of Helsinki  , Finland    
   72  ,  Hebrew University of Jerusalem  , Israel    
   74  ,  Moscow State University  , Russia    
   75  ,  University of Oslo  , Norway    
   79  ,  Stockholm University  , Sweden    
   84  ,  University of Nottingham  , UK    
   86  ,  University of Basel  , Switzerland    
   88  ,  University of Sheffield  , UK    
   90  ,  University of Gent  , Belgium    
   93  ,  University of Göttingen  , Germany    
   93  ,  University of Bonn  , Germany    
   98  ,  Aarhus University  , Denmark    
   99  ,  University of Birmingham  , UK    
   101-150  ,  Catholic University of Leuven  , Belgium    
   101-150  ,  Catholic University of Louvain  , Belgium    
   101-150  ,  Université Libre de Bruxelles  , Belgium    
   101-150  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   101-150  ,  University of Geneva  , Switzerland    
   101-150  ,  University of Freiburg  , Germany    
   101-150  ,  University of Würzburg  , Germany    
   101-150  ,  University of Tübingen  , Germany    
   101-150  ,  University of Frankfurt am Main  , Germany    
