# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2012
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   5  ,  University of Cambridge  , UK    
   10  ,  University of Oxford  , UK    
   21  ,  University College London  , UK    
   23  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   24  ,  Imperial College London  , UK    
   37  ,  University Paris Sud (Paris XI)  , France    
   40  ,  University of Manchester  , UK    
   42  ,  University Pierre et Marie Curie (Paris VI)  , France    
   42  ,  Karolinska Institute  , Sweden    
   44  ,  University of Copenhagen  , Denmark    
   51  ,  University of Edinburgh  , UK    
   53  ,  Technical University of München  , Germany    
   53  ,  Hebrew University of Jerusalem  , Israel    
   53  ,  Utrecht University  , Netherlands    
   59  ,  University of Zurich  , Switzerland    
   60  ,  University of München  , Germany    
   62  ,  University of Heidelberg  , Germany    
   67  ,  University of Oslo  , Norway    
   68  ,  King&rsquo;s College London  , UK    
   69  ,  University of Geneva  , Switzerland    
   70  ,  University of Bristol  , UK    
   73  ,  University of Helsinki  , Finland    
   73  ,  Ecole Normale Supérieure de Paris  , France    
   73  ,  University of Leiden  , Netherlands    
   73  ,  Uppsala University  , Sweden    
   78  ,  Technion - Israel Institute of Technology  , Israel    
   80  ,  Moscow State University  , Russia    
   81  ,  Stockholm University  , Sweden    
   85  ,  University of Basel  , Switzerland    
   86  ,  Aarhus University  , Denmark    
   86  ,  University of Nottingham  , UK    
   89  ,  University of Gent  , Belgium    
   93  ,  Weizmann Institute of Science  , Israel    
   99  ,  University of Freiburg  , Germany    
   101-150  ,  Catholic University of Leuven  , Belgium    
   101-150  ,  Catholic University of Louvain  , Belgium    
   101-150  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   101-150  ,  University of Göttingen  , Germany    
   101-150  ,  University of Frankfurt am Main  , Germany    
   101-150  ,  University of Bonn  , Germany    
   101-150  ,  University of Münster  , Germany    
   101-150  ,  University Denis Diderot (Paris VII)  , France    
