# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2017
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   4  ,  University of Cambridge  , UK    
   6  ,  University of Oxford  , UK    
   7  ,  University College London  , UK    
   8  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   9  ,  Imperial College London  , UK    
   14  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   19  ,  University of Edinburgh  , UK    
   21  ,  King&rsquo;s College London  , UK    
   29  ,  University of Manchester  , UK    
   33  ,  Ecole Normale Supérieure de Paris  , France    
   37  ,  London School of Economics  , UK    
   41  ,  University of Bristol  , UK    
   51  ,  University of Warwick  , UK    
   53  ,  Ecole Polytechnique  , France    
   57  ,  University of Amsterdam  , Netherlands    
   60  ,  Technical University of München  , Germany    
   62  ,  Delft University of Technology  , Netherlands    
   63  ,  University of Glasgow  , UK    
   68  ,  University of München  , Germany    
   68  ,  University of Copenhagen  , Denmark    
   72  ,  University of Heidelberg  , Germany    
   73  ,  Lund University  , Sweden    
   74  ,  University of Durham  , UK    
   75  ,  University of Nottingham  , UK    
   77  ,  University of St. Andrews  , UK    
   79  ,  Catholic University of Leuven  , Belgium    
   80  ,  University of Zurich  , Switzerland    
   82  ,  University of Birmingham  , UK    
   84  ,  University of Sheffield  , UK    
   87  ,  University of Southampton  , UK    
   91  ,  University of Helsinki  , Finland    
   93  ,  University of Leeds  , UK    
   95  ,  University of Geneva  , Switzerland    
   97  ,  KTH - Royal Institute of Technology  , Sweden    
   98  ,  Trinity College Dublin  , Ireland    
   98  ,  Uppsala University  , Sweden    
   98  ,  Karlsruhe Institute of Technology  , Germany    
   102  ,  University of Leiden  , Netherlands    
   104  ,  Utrecht University  , Netherlands    
   108  ,  Moscow State University  , Russia    
   109  ,  Technical University of Denmark  , Denmark    
   113  ,  University of Groningen  , Netherlands    
   113  ,  University of Oslo  , Norway    
   117  ,  Aarhus University  , Denmark    
   119  ,  Wageningen University & Research Center  , Netherlands    
   121  ,  Humboldt University of Berlin  , Germany    
   121  ,  Eindhoven University of Technology  , Netherlands    
   123  ,  Free University of Berlin  , Germany    
   123  ,  Queen Mary - University of London  , UK    
   127  ,  University of York  , UK    
   129  ,  University of Lancaster  , UK    
   131  ,  University of Gent  , Belgium    
   133  ,  Aalto University  , Finland    
   138  ,  University of Lausanne  , Switzerland    
   139  ,  Chalmers University of Technology  , Sweden    
   140  ,  Cardiff University  , UK    
   141  ,  University of Basel  , Switzerland    
   141  ,  University Pierre et Marie Curie (Paris VI)  , France    
   141  ,  University of Aberdeen  , UK    
   144  ,  Erasmus University Rotterdam  , Netherlands    
   146  ,  RWTH Aachen University  , Germany    
   148  ,  Hebrew University of Jerusalem  , Israel    
   154  ,  Catholic University of Louvain  , Belgium    
   155  ,  University of Vienna  , Austria    
   157  ,  University of Liverpool  , UK    
   159  ,  University of Bath  , UK    
   160  ,  University of Barcelona  , Spain    
   163  ,  University of Freiburg  , Germany    
   164  ,  Technical University of Berlin  , Germany    
   164  ,  University of Exeter  , UK    
   164  ,  CentraleSupélec  , France    
   167  ,  University of Tübingen  , Germany    
   168  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   173  ,  University of Maastricht  , Netherlands    
   175  ,  University of Reading  , UK    
   176  ,  University College Dublin  , Ireland    
   177  ,  University of Göttingen  , Germany    
   177  ,  Ecole Normale Supérieure de Lyon  , France    
   177  ,  University of Twente  , Netherlands    
   177  ,  University of Bergen  , Norway    
   181  ,  University of Bern  , Switzerland    
   182  ,  Vrije Universiteit Brussel  , Belgium    
   183  ,  Vienna University of Technology  , Austria    
   183  ,  Polytechnic University of Milan  , Italy    
   187  ,  University of Sussex  , UK    
   190  ,  Radboud University of Nijmegen  , Netherlands    
   195  ,  Queen&rsquo;s University Belfast  , UK    
   196  ,  Stockholm University  , Sweden    
   199  ,  VU University Amsterdam  , Netherlands    
   203  ,  Autonomous University of Barcelona  , Spain    
   206  ,  Grenoble Alpes University  , France    
   208  ,  University of Bologna  , Italy    
   209  ,  University of Antwerp  , Belgium    
   210  ,  Technical University of Dresden  , Germany    
   210  ,  Autonomous University of Madrid  , Spain    
   212  ,  Tel Aviv University  , Israel    
   213  ,  Technion - Israel Institute of Technology  , Israel    
   216  ,  Université Libre de Bruxelles  , Belgium    
   220  ,  Sciences Po - Paris  , France    
   221  ,  University Paris-Sorbonne (Paris IV)  , France    
   223  ,  University of Rome - La Sapienza  , Italy    
   228  ,  University Panthéon-Sorbonne (Paris I)  , France    
   231  ,  University of Bonn  , Germany    
   232  ,  University of Hamburg  , Germany    
   234  ,  University of Turku  , Finland    
   235  ,  Royal Holloway - University of London  , UK    
   237  ,  Loughborough University  , UK    
   239  ,  Complutense University of Madrid  , Spain    
   239  ,  University of Leicester  , UK    
   241  ,  University Paris Sud (Paris XI)  , France    
   244  ,  University of Dundee  , UK    
   245  ,  University of Navarra  , Spain    
   247  ,  Technical University of Darmstadt  , Germany    
   249  ,  National University of Ireland - Galway  , Ireland    
   252  ,  School of Oriental and African Studies - University of London  , UK    
   252  ,  University of East Anglia  , UK    
   258  ,  St. Petersburg State University  , Russia    
   259  ,  Norwegian University of Science and Technology  , Norway    
   260  ,  University of Strasbourg  , France    
   261  ,  University of Surrey  , UK    
   262  ,  University Denis Diderot (Paris VII)  , France    
   263  ,  University of Stuttgart  , Germany    
   264  ,  University of Frankfurt am Main  , Germany    
   264  ,  Ecole Normale Supérieure de Cachan  , France    
   264  ,  Göteborg University  , Sweden    
   268  ,  Ecole des Ponts ParisTech  , France    
   272  ,  University of Erlangen-Nürnberg  , Germany    
   272  ,  University of Strathclyde  , UK    
   280  ,  University Carlos III de Madrid  , Spain    
   280  ,  Birkbeck - University of London  , UK    
   282  ,  Linkoping University  , Sweden    
   283  ,  University Pompeu Fabra  , Spain    
   283  ,  University College Cork  , Ireland    
   288  ,  University of St.Gallen  , Switzerland    
   291  ,  Novosibirsk State University  , Russia    
   294  ,  University of Münster  , Germany    
   294  ,  Umea University  , Sweden    
   299  ,  University of Innsbruck  , Austria    
   302  ,  Charles University Prague  , Czech Republic    
   305  ,  Polytechnic University of Turin  , Italy    
   306  ,  Bauman Moscow State Technical University  , Russia    
   314  ,  City University London  , UK    
   315  ,  University of Liège  , Belgium    
   319  ,  Tampere University of Technology  , Finland    
