# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2012
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   2  ,  University of Cambridge  , UK    
   4  ,  University College London  , UK    
   5  ,  University of Oxford  , UK    
   6  ,  Imperial College London  , UK    
   13  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   21  ,  University of Edinburgh  , UK    
   26  ,  King&rsquo;s College London  , UK    
   28  ,  University of Bristol  , UK    
   29  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   32  ,  University of Manchester  , UK    
   34  ,  Ecole Normale Supérieure de Paris  , France    
   41  ,  Ecole Polytechnique  , France    
   51  ,  University of Copenhagen  , Denmark    
   53  ,  Technical University of München  , Germany    
   54  ,  University of Glasgow  , UK    
   55  ,  University of Heidelberg  , Germany    
   58  ,  University of Warwick  , UK    
   60  ,  University of München  , Germany    
   62  ,  University of Amsterdam  , Netherlands    
   66  ,  University of Sheffield  , UK    
   67  ,  Trinity College Dublin  , Ireland    
   69  ,  London School of Economics  , UK    
   71  ,  Lund University  , Sweden    
   72  ,  University of Nottingham  , UK    
   73  ,  University of Southampton  , UK    
   74  ,  University of Geneva  , Switzerland    
   75  ,  University of Leiden  , Netherlands    
   77  ,  University of Birmingham  , UK    
   78  ,  University of Helsinki  , Finland    
   81  ,  Uppsala University  , Sweden    
   82  ,  Catholic University of Leuven  , Belgium    
   85  ,  Utrecht University  , Netherlands    
   87  ,  Free University of Berlin  , Germany    
   89  ,  Aarhus University  , Denmark    
   90  ,  University of Zurich  , Switzerland    
   92  ,  University of Durham  , UK    
   93  ,  University of St. Andrews  , UK    
   94  ,  University of Leeds  , UK    
   99  ,  Erasmus University Rotterdam  , Netherlands    
   103  ,  Delft University of Technology  , Netherlands    
   106  ,  University of Freiburg  , Germany    
   107  ,  University of Maastricht  , Netherlands    
   109  ,  University of Groningen  , Netherlands    
   110  ,  University of York  , UK    
   111  ,  University of Oslo  , Norway    
   115  ,  University of Lausanne  , Switzerland    
   116  ,  Moscow State University  , Russia    
   119  ,  University of Göttingen  , Germany    
   121  ,  University of Basel  , Switzerland    
   124  ,  University of Liverpool  , UK    
   126  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   127  ,  Catholic University of Louvain  , Belgium    
   129  ,  University Pierre et Marie Curie (Paris VI)  , France    
   130  ,  Humboldt University of Berlin  , Germany    
   131  ,  University College Dublin  , Ireland    
   132  ,  Technical University of Denmark  , Denmark    
   136  ,  Radboud University of Nijmegen  , Netherlands    
   140  ,  Hebrew University of Jerusalem  , Israel    
   141  ,  Karlsruhe Institute of Technology  , Germany    
   142  ,  KTH - Royal Institute of Technology  , Sweden    
   143  ,  Cardiff University  , UK    
   144  ,  University of Tübingen  , Germany    
   145  ,  University of Bergen  , Norway    
   147  ,  Queen Mary - University of London  , UK    
   148  ,  University of Gent  , Belgium    
   149  ,  University of Bern  , Switzerland    
   150  ,  RWTH Aachen University  , Germany    
   151  ,  University of Bonn  , Germany    
   153  ,  Ecole Normale Supérieure de Lyon  , France    
   158  ,  Eindhoven University of Technology  , Netherlands    
   160  ,  University of Vienna  , Austria    
   161  ,  Wageningen University & Research Center  , Netherlands    
   162  ,  University of Aberdeen  , UK    
   163  ,  University of Lancaster  , UK    
   166  ,  Queen&rsquo;s University Belfast  , UK    
   171  ,  Stockholm University  , Sweden    
   172  ,  Université Libre de Bruxelles  , Belgium    
   176  ,  Autonomous University of Barcelona  , Spain    
   177  ,  VU University Amsterdam  , Netherlands    
   178  ,  University of Bath  , UK    
   182  ,  University of Exeter  , UK    
   185  ,  University of Leicester  , UK    
   187  ,  University of Barcelona  , Spain    
   188  ,  University of Sussex  , UK    
   189  ,  Vrije Universiteit Brussel  , Belgium    
   190  ,  University College Cork  , Ireland    
   193  ,  Göteborg University  , Sweden    
   194  ,  University of Bologna  , Italy    
   196  ,  University of Antwerp  , Belgium    
   201  ,  University of Frankfurt am Main  , Germany    
   204  ,  University of Dundee  , UK    
   205  ,  University of Hamburg  , Germany    
   206  ,  Autonomous University of Madrid  , Spain    
   207  ,  Technical University of Berlin  , Germany    
   209  ,  Tel Aviv University  , Israel    
   211  ,  University of Turku  , Finland    
   213  ,  Sciences Po - Paris  , France    
   215  ,  University of Reading  , UK    
   216  ,  University of Rome - La Sapienza  , Italy    
   217  ,  University Paris-Sorbonne (Paris IV)  , France    
   218  ,  University Panthéon-Sorbonne (Paris I)  , France    
   218  ,  University Paris Sud (Paris XI)  , France    
   220  ,  Technion - Israel Institute of Technology  , Israel    
   222  ,  Aalto University  , Finland    
   223  ,  Chalmers University of Technology  , Sweden    
   224  ,  University of Twente  , Netherlands    
   226  ,  Complutense University of Madrid  , Spain    
   229  ,  University of Stuttgart  , Germany    
   232  ,  University of Strasbourg  , France    
   234  ,  University Denis Diderot (Paris VII)  , France    
   236  ,  University of East Anglia  , UK    
   239  ,  University of Liège  , Belgium    
   242  ,  Loughborough University  , UK    
   244  ,  Polytechnic University of Milan  , Italy    
   245  ,  University of Münster  , Germany    
   247  ,  University of Cologne  , Germany    
   248  ,  University Joseph Fourier - Grenoble I  , France    
   251  ,  University of Ulm  , Germany    
   253  ,  St. Petersburg State University  , Russia    
   254  ,  University of Strathclyde  , UK    
   256  ,  University of Milan  , Italy    
   259  ,  University of Surrey  , UK    
   262  ,  University of Oulu  , Finland    
   263  ,  University of Mannheim  , Germany    
   265  ,  University of Kiel  , Germany    
   266  ,  University Pompeu Fabra  , Spain    
   267  ,  Royal Holloway - University of London  , UK    
   269  ,  University of Erlangen-Nürnberg  , Germany    
   274  ,  Vienna University of Technology  , Austria    
   275  ,  Technical University of Darmstadt  , Germany    
   276  ,  University of Innsbruck  , Austria    
   279  ,  University of Konstanz  , Germany    
   286  ,  Charles University Prague  , Czech Republic    
   287  ,  National University of Ireland - Galway  , Ireland    
   288  ,  Technical University of Dresden  , Germany    
