# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2016
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   3  ,  University of Cambridge  , UK    
   6  ,  University of Oxford  , UK    
   7  ,  University College London  , UK    
   8  ,  Imperial College London  , UK    
   9  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   14  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   19  ,  King&rsquo;s College London  , UK    
   21  ,  University of Edinburgh  , UK    
   23  ,  Ecole Normale Supérieure de Paris  , France    
   33  ,  University of Manchester  , UK    
   35  ,  London School of Economics  , UK    
   37  ,  University of Bristol  , UK    
   40  ,  Ecole Polytechnique  , France    
   48  ,  University of Warwick  , UK    
   55  ,  University of Amsterdam  , Netherlands    
   60  ,  Technical University of München  , Germany    
   61  ,  University of Durham  , UK    
   62  ,  University of Glasgow  , UK    
   64  ,  Delft University of Technology  , Netherlands    
   66  ,  University of Heidelberg  , Germany    
   68  ,  University of St. Andrews  , UK    
   69  ,  University of Copenhagen  , Denmark    
   70  ,  Lund University  , Sweden    
   70  ,  University of Nottingham  , UK    
   75  ,  University of München  , Germany    
   76  ,  University of Birmingham  , UK    
   78  ,  Trinity College Dublin  , Ireland    
   80  ,  University of Sheffield  , UK    
   81  ,  University of Southampton  , UK    
   82  ,  Catholic University of Leuven  , Belgium    
   85  ,  University of Zurich  , Switzerland    
   87  ,  University of Leeds  , UK    
   89  ,  University of Geneva  , Switzerland    
   92  ,  KTH - Royal Institute of Technology  , Sweden    
   93  ,  Karlsruhe Institute of Technology  , Germany    
   94  ,  Utrecht University  , Netherlands    
   95  ,  University of Leiden  , Netherlands    
   96  ,  University of Helsinki  , Finland    
   100  ,  University of Groningen  , Netherlands    
   102  ,  Uppsala University  , Sweden    
   103  ,  University of York  , UK    
   107  ,  Aarhus University  , Denmark    
   108  ,  Moscow State University  , Russia    
   109  ,  Queen Mary - University of London  , UK    
   112  ,  Technical University of Denmark  , Denmark    
   117  ,  Eindhoven University of Technology  , Netherlands    
   119  ,  Free University of Berlin  , Germany    
   121  ,  University of Lancaster  , UK    
   122  ,  Cardiff University  , UK    
   124  ,  University of Gent  , Belgium    
   126  ,  Humboldt University of Berlin  , Germany    
   126  ,  Erasmus University Rotterdam  , Netherlands    
   132  ,  Chalmers University of Technology  , Sweden    
   133  ,  University of Freiburg  , Germany    
   135  ,  Wageningen University & Research Center  , Netherlands    
   135  ,  University of Oslo  , Norway    
   137  ,  University Pierre et Marie Curie (Paris VI)  , France    
   137  ,  University of Aberdeen  , UK    
   139  ,  University of Basel  , Switzerland    
   139  ,  Aalto University  , Finland    
   143  ,  University of Lausanne  , Switzerland    
   145  ,  RWTH Aachen University  , Germany    
   148  ,  Hebrew University of Jerusalem  , Israel    
   149  ,  Catholic University of Louvain  , Belgium    
   151  ,  University of Liverpool  , UK    
   153  ,  University of Vienna  , Austria    
   154  ,  University College Dublin  , Ireland    
   156  ,  University of Reading  , UK    
   156  ,  CentraleSupélec  , France    
   159  ,  University of Bath  , UK    
   161  ,  University of Exeter  , UK    
   162  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   166  ,  University of Bern  , Switzerland    
   166  ,  University of Barcelona  , Spain    
   168  ,  University of Göttingen  , Germany    
   169  ,  University of Maastricht  , Netherlands    
   173  ,  University of Tübingen  , Germany    
   176  ,  VU University Amsterdam  , Netherlands    
   177  ,  Radboud University of Nijmegen  , Netherlands    
   178  ,  Technical University of Berlin  , Germany    
   181  ,  University of Bergen  , Norway    
   182  ,  Stockholm University  , Sweden    
   182  ,  Queen&rsquo;s University Belfast  , UK    
   186  ,  Autonomous University of Madrid  , Spain    
   187  ,  Polytechnic University of Milan  , Italy    
   187  ,  University of Sussex  , UK    
   188  ,  Ecole Normale Supérieure de Lyon  , France    
   188  ,  University of Twente  , Netherlands    
   190  ,  Autonomous University of Barcelona  , Spain    
   194  ,  Vrije Universiteit Brussel  , Belgium    
   197  ,  Vienna University of Technology  , Austria    
   198  ,  Technion - Israel Institute of Technology  , Israel    
   203  ,  Tel Aviv University  , Israel    
   204  ,  University of Bologna  , Italy    
   207  ,  Université Libre de Bruxelles  , Belgium    
   208  ,  University of Antwerp  , Belgium    
   210  ,  University of Bonn  , Germany    
   213  ,  University of Rome - La Sapienza  , Italy    
   219  ,  University of Hamburg  , Germany    
   222  ,  University Paris-Sorbonne (Paris IV)  , France    
   223  ,  Sciences Po - Paris  , France    
   226  ,  Complutense University of Madrid  , Spain    
   227  ,  Technical University of Dresden  , Germany    
   228  ,  Loughborough University  , UK    
   231  ,  Royal Holloway - University of London  , UK    
   233  ,  University of Turku  , Finland    
   233  ,  University College Cork  , Ireland    
   235  ,  University Joseph Fourier - Grenoble I  , France    
   235  ,  University of Leicester  , UK    
   239  ,  University of East Anglia  , UK    
   240  ,  University Panthéon-Sorbonne (Paris I)  , France    
   241  ,  University Paris Sud (Paris XI)  , France    
   241  ,  University of Strasbourg  , France    
   243  ,  University of Frankfurt am Main  , Germany    
   246  ,  Technical University of Darmstadt  , Germany    
   247  ,  Göteborg University  , Sweden    
   247  ,  University of Surrey  , UK    
   249  ,  University of Strathclyde  , UK    
   251  ,  University of Stuttgart  , Germany    
   254  ,  Norwegian University of Science and Technology  , Norway    
   256  ,  University of Münster  , Germany    
   256  ,  St. Petersburg State University  , Russia    
   259  ,  Ben-Gurion University of the Negev  , Israel    
   261  ,  University Denis Diderot (Paris VII)  , France    
   261  ,  University of Dundee  , UK    
   265  ,  University of Liège  , Belgium    
   265  ,  University of Navarra  , Spain    
   271  ,  National University of Ireland - Galway  , Ireland    
   275  ,  School of Oriental and African Studies - University of London  , UK    
   279  ,  Charles University Prague  , Czech Republic    
   286  ,  Linkoping University  , Sweden    
   290  ,  Birkbeck - University of London  , UK    
   292  ,  University of Erlangen-Nürnberg  , Germany    
   293  ,  Ecole Normale Supérieure de Cachan  , France    
   293  ,  Tilburg University  , Netherlands    
   295  ,  University of Innsbruck  , Austria    
   295  ,  University Pompeu Fabra  , Spain    
   299  ,  Polytechnic University of Catalonia  , Spain    
   301  ,  City University London  , UK    
   303  ,  University of Essex  , UK    
   306  ,  University of Milan  , Italy    
   308  ,  University of Porto  , Portugal    
   309  ,  University of Padua  , Italy    
   314  ,  University Carlos III de Madrid  , Spain    
