# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2013
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   3  ,  University of Cambridge  , UK    
   4  ,  University College London  , UK    
   5  ,  Imperial College London  , UK    
   6  ,  University of Oxford  , UK    
   12  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   17  ,  University of Edinburgh  , UK    
   19  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   19  ,  King&rsquo;s College London  , UK    
   28  ,  Ecole Normale Supérieure de Paris  , France    
   30  ,  University of Bristol  , UK    
   33  ,  University of Manchester  , UK    
   41  ,  Ecole Polytechnique  , France    
   45  ,  University of Copenhagen  , Denmark    
   50  ,  University of Heidelberg  , Germany    
   51  ,  University of Glasgow  , UK    
   53  ,  Technical University of München  , Germany    
   58  ,  University of Amsterdam  , Netherlands    
   61  ,  Trinity College Dublin  , Ireland    
   62  ,  University of Birmingham  , UK    
   64  ,  University of Warwick  , UK    
   65  ,  University of München  , Germany    
   67  ,  Lund University  , Sweden    
   68  ,  London School of Economics  , UK    
   69  ,  University of Helsinki  , Finland    
   71  ,  University of Geneva  , Switzerland    
   71  ,  University of Sheffield  , UK    
   74  ,  University of Leiden  , Netherlands    
   75  ,  University of Nottingham  , UK    
   77  ,  Catholic University of Leuven  , Belgium    
   78  ,  University of Zurich  , Switzerland    
   79  ,  Uppsala University  , Sweden    
   81  ,  Utrecht University  , Netherlands    
   83  ,  University of St. Andrews  , UK    
   86  ,  University of Southampton  , UK    
   89  ,  University of Oslo  , Norway    
   90  ,  University of Durham  , UK    
   91  ,  Aarhus University  , Denmark    
   92  ,  Erasmus University Rotterdam  , Netherlands    
   95  ,  Delft University of Technology  , Netherlands    
   97  ,  University of Groningen  , Netherlands    
   97  ,  University of Leeds  , UK    
   102  ,  University of Freiburg  , Germany    
   109  ,  Free University of Berlin  , Germany    
   110  ,  University of Basel  , Switzerland    
   111  ,  University of Lausanne  , Switzerland    
