# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2012
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   4  ,  University of Oxford  , UK    
   6  ,  University of Cambridge  , UK    
   8  ,  Imperial College London  , UK    
   15  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   17  ,  University College London  , UK    
   32  ,  Karolinska Institute  , Sweden    
   36  ,  University of Edinburgh  , UK    
   45  ,  University of München  , Germany    
   46  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   47  ,  London School of Economics  , UK    
   48  ,  University of Manchester  , UK    
   56  ,  King&rsquo;s College London  , UK    
   59  ,  Ecole Normale Supérieure de Paris  , France    
   61  ,  University of Zurich  , Switzerland    
   63  ,  Ecole Polytechnique  , France    
   66  ,  University of Bristol  , UK    
   67  ,  Catholic University of Leuven  , Belgium    
   68  ,  Utrecht University  , Netherlands    
   69  ,  University of Göttingen  , Germany    
   73  ,  University of Heidelberg  , Germany    
   75  ,  Wageningen University & Research Center  , Netherlands    
   79  ,  University of Leiden  , Netherlands    
   80  ,  Lund University  , Sweden    
   83  ,  University of Durham  , UK    
   84  ,  University Pierre et Marie Curie (Paris VI)  , France    
   85  ,  University of St. Andrews  , UK    
   87  ,  Uppsala University  , Sweden    
   88  ,  Technical University of München  , Germany    
   91  ,  University of Helsinki  , Finland    
   92  ,  University of Amsterdam  , Netherlands    
   99  ,  University of Sussex  , UK    
   101  ,  University of Sheffield  , UK    
   102  ,  University of Glasgow  , UK    
   104  ,  Delft University of Technology  , Netherlands    
   106  ,  University of Gent  , Belgium    
   107  ,  Royal Holloway - University of London  , UK    
   109  ,  Humboldt University of Berlin  , Germany    
   111  ,  University of Basel  , Switzerland    
   112  ,  University of Bern  , Switzerland    
   115  ,  Eindhoven University of Technology  , Netherlands    
   116  ,  University of Lausanne  , Switzerland    
   117  ,  Trinity College Dublin  , Ireland    
   121  ,  Hebrew University of Jerusalem  , Israel    
   121  ,  University of York  , UK    
   125  ,  Aarhus University  , Denmark    
   127  ,  Queen Mary - University of London  , UK    
   127  ,  University of Southampton  , UK    
   130  ,  University of Geneva  , Switzerland    
   131  ,  Stockholm University  , Sweden    
   131  ,  University of Lancaster  , UK    
   133  ,  University of Leeds  , UK    
   134  ,  University of Groningen  , Netherlands    
   135  ,  University of Copenhagen  , Denmark    
   139  ,  University of Vienna  , Austria    
   140  ,  University of Nottingham  , UK    
   141  ,  Ecole Normale Supérieure de Lyon  , France    
   145  ,  University of East Anglia  , UK    
   146  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   148  ,  University of Birmingham  , UK    
   149  ,  Birkbeck - University of London  , UK    
   151  ,  Free University of Berlin  , Germany    
   151  ,  University of Aberdeen  , UK    
   156  ,  University of Exeter  , UK    
   157  ,  Erasmus University Rotterdam  , Netherlands    
   157  ,  University of Warwick  , UK    
   159  ,  University College Dublin  , Ireland    
   159  ,  VU University Amsterdam  , Netherlands    
   159  ,  Radboud University of Nijmegen  , Netherlands    
   164  ,  University of Reading  , UK    
   166  ,  Tel Aviv University  , Israel    
   168  ,  RWTH Aachen University  , Germany    
   169  ,  Catholic University of Louvain  , Belgium    
   169  ,  University Denis Diderot (Paris VII)  , France    
   176  ,  University of Dundee  , UK    
   178  ,  Technical University of Denmark  , Denmark    
   181  ,  University of Frankfurt am Main  , Germany    
   181  ,  University of Oslo  , Norway    
   181  ,  University of Liverpool  , UK    
   186  ,  University Pompeu Fabra  , Spain    
   187  ,  University of Tübingen  , Germany    
   187  ,  KTH - Royal Institute of Technology  , Sweden    
   189  ,  University of Freiburg  , Germany    
   191  ,  University of Bergen  , Norway    
   194  ,  University of Konstanz  , Germany    
   196  ,  Karlsruhe Institute of Technology  , Germany    
   197  ,  University of Maastricht  , Netherlands    
   197  ,  University of Leicester  , UK    
   200  ,  University of Twente  , Netherlands    
   201-225  ,  University of Innsbruck  , Austria    
   201-225  ,  Université Libre de Bruxelles  , Belgium    
   201-225  ,  University of Würzburg  , Germany    
   201-225  ,  University of Ulm  , Germany    
   201-225  ,  Autonomous University of Barcelona  , Spain    
   201-225  ,  University of Barcelona  , Spain    
   201-225  ,  Technion - Israel Institute of Technology  , Israel    
   201-225  ,  Göteborg University  , Sweden    
   201-225  ,  Umea University  , Sweden    
   201-225  ,  Bilkent University  , Turkey    
   201-225  ,  Cardiff University  , UK    
   201-225  ,  University of Essex  , UK    
   201-225  ,  University of Strasbourg  , France    
   226-250  ,  University of Hamburg  , Germany    
   226-250  ,  University of Bologna  , Italy    
   226-250  ,  University of Milan  , Italy    
   226-250  ,  University of Milan - Bicocca  , Italy    
   226-250  ,  University of Padua  , Italy    
   226-250  ,  University of Trieste  , Italy    
   226-250  ,  Chalmers University of Technology  , Sweden    
   226-250  ,  Swedish University of Agricultural Sciences  , Sweden    
   251-275  ,  University of Linz  , Austria    
   251-275  ,  University of Graz  , Austria    
   251-275  ,  University of Kiel  , Germany    
   251-275  ,  University of Bochum  , Germany    
   251-275  ,  Technical University of Dresden  , Germany    
   251-275  ,  University of Bielefeld  , Germany    
   251-275  ,  University of Southern Denmark  , Denmark    
   251-275  ,  Tilburg University  , Netherlands    
   251-275  ,  Norwegian University of Science and Technology  , Norway    
   251-275  ,  Brunel University  , UK    
   251-275  ,  Queen&rsquo;s University Belfast  , UK    
   251-275  ,  University of Bath  , UK    
   251-275  ,  Bangor University  , UK    
   276-300  ,  University of Antwerp  , Belgium    
   276-300  ,  Technical University of Darmstadt  , Germany    
   276-300  ,  University of Münster  , Germany    
   276-300  ,  Autonomous University of Madrid  , Spain    
   276-300  ,  University of Montpellier II  , France    
   276-300  ,  University of Crete  , Greece    
   276-300  ,  University of Iceland  , Iceland    
   276-300  ,  University of Trento  , Italy    
   276-300  ,  University of Tromso  , Norway    
   276-300  ,  Moscow State University  , Russia    
   276-300  ,  Istanbul Technical University  , Turkey    
   276-300  ,  Middle East Technical University  , Turkey    
   276-300  ,  Aberystwyth University  , UK    
   301-350  ,  Vienna University of Technology  , Austria    
   301-350  ,  University of Liège  , Belgium    
   301-350  ,  Vrije Universiteit Brussel  , Belgium    
   301-350  ,  Charles University Prague  , Czech Republic    
   301-350  ,  Aalborg University  , Denmark    
   301-350  ,  University of Valencia  , Spain    
   301-350  ,  University of Tampere  , Finland    
   301-350  ,  University College Cork  , Ireland    
   301-350  ,  Bar-Ilan University  , Israel    
   301-350  ,  Polytechnic University of Milan  , Italy    
   301-350  ,  University of Ferrara  , Italy    
   301-350  ,  University of Modena  , Italy    
   301-350  ,  University of Pisa  , Italy    
   301-350  ,  University of Rome - La Sapienza  , Italy    
   301-350  ,  Jagiellonian University  , Poland    
