# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2013
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   2  ,  University of Oxford  , UK    
   7  ,  University of Cambridge  , UK    
   8  ,  Imperial College London  , UK    
   12  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   17  ,  University College London  , UK    
   32  ,  University of Edinburgh  , UK    
   39  ,  London School of Economics  , UK    
   40  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   42  ,  Karolinska Institute  , Sweden    
   48  ,  University of München  , Germany    
   49  ,  University of Manchester  , UK    
   57  ,  King&rsquo;s College London  , UK    
   58  ,  Catholic University of Leuven  , Belgium    
   59  ,  Ecole Normale Supérieure de Paris  , France    
   62  ,  Ecole Polytechnique  , France    
   64  ,  University of Leiden  , Netherlands    
   67  ,  Utrecht University  , Netherlands    
   70  ,  University of Göttingen  , Germany    
   70  ,  Wageningen University & Research Center  , Netherlands    
   72  ,  Erasmus University Rotterdam  , Netherlands    
   74  ,  University of Bristol  , UK    
   77  ,  Delft University of Technology  , Netherlands    
   78  ,  University of Heidelberg  , Germany    
   80  ,  University of Durham  , UK    
   81  ,  University Pierre et Marie Curie (Paris VI)  , France    
   82  ,  Lund University  , Sweden    
   83  ,  University of Amsterdam  , Netherlands    
   89  ,  University of Groningen  , Netherlands    
   89  ,  University of Zurich  , Switzerland    
   92  ,  University Paris Sud (Paris XI)  , France    
   93  ,  University of Gent  , Belgium    
   99  ,  Humboldt University of Berlin  , Germany    
   103  ,  University of York  , UK    
   105  ,  Technical University of München  , Germany    
   106  ,  Uppsala University  , Sweden    
   108  ,  University of St. Andrews  , UK    
   109  ,  University of Helsinki  , Finland    
   110  ,  Trinity College Dublin  , Ireland    
   110  ,  University of Sheffield  , UK    
   110  ,  University of Sussex  , UK    
   114  ,  Eindhoven University of Technology  , Netherlands    
   115  ,  University of Maastricht  , Netherlands    
   116  ,  Aarhus University  , Denmark    
   117  ,  Stockholm University  , Sweden    
   119  ,  Royal Holloway - University of London  , UK    
   120  ,  University of Nottingham  , UK    
   124  ,  University of Warwick  , UK    
   127  ,  Radboud University of Nijmegen  , Netherlands    
   128  ,  Free University of Berlin  , Germany    
   130  ,  University of Lausanne  , Switzerland    
   130  ,  University of Copenhagen  , Denmark    
   130  ,  University of Southampton  , UK    
   133  ,  University of Geneva  , Switzerland    
   137  ,  Hebrew University of Jerusalem  , Israel    
   139  ,  University of Glasgow  , UK    
   140  ,  VU University Amsterdam  , Netherlands    
   140  ,  KTH - Royal Institute of Technology  , Sweden    
   142  ,  University of Basel  , Switzerland    
   142  ,  University of Leeds  , UK    
   144  ,  University of Freiburg  , Germany    
   145  ,  Queen Mary - University of London  , UK    
   145  ,  University of Lancaster  , UK    
   149  ,  Technical University of Denmark  , Denmark    
   151  ,  University of Bern  , Switzerland    
   151  ,  Karlsruhe Institute of Technology  , Germany    
   153  ,  University of Exeter  , UK    
   154  ,  RWTH Aachen University  , Germany    
   158  ,  Tel Aviv University  , Israel    
   158  ,  University of Birmingham  , UK    
   162  ,  University of Vienna  , Austria    
   164  ,  Catholic University of Louvain  , Belgium    
   166  ,  University Denis Diderot (Paris VII)  , France    
   170  ,  Ecole Normale Supérieure de Lyon  , France    
   171  ,  University of Bonn  , Germany    
   171  ,  University of Liverpool  , UK    
   176  ,  University of Aberdeen  , UK    
   176  ,  University of East Anglia  , UK    
   176  ,  University of Reading  , UK    
   180  ,  University Joseph Fourier - Grenoble I  , France    
   180  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   187  ,  University College Dublin  , Ireland    
   187  ,  University of Twente  , Netherlands    
   192  ,  University of Antwerp  , Belgium    
   193  ,  Technion - Israel Institute of Technology  , Israel    
   196  ,  University of Leicester  , UK    
   199  ,  University of Frankfurt am Main  , Germany    
   200  ,  Birkbeck - University of London  , UK    
   201-225  ,  University of Innsbruck  , Austria    
   201-225  ,  University of Tübingen  , Germany    
   201-225  ,  University of Erlangen-Nürnberg  , Germany    
   201-225  ,  University of Mainz  , Germany    
   201-225  ,  University of Konstanz  , Germany    
   201-225  ,  Autonomous University of Barcelona  , Spain    
   201-225  ,  University Pompeu Fabra  , Spain    
   201-225  ,  University of Barcelona  , Spain    
   201-225  ,  Tilburg University  , Netherlands    
   201-225  ,  University of Oslo  , Norway    
   201-225  ,  Moscow State University  , Russia    
   201-225  ,  Göteborg University  , Sweden    
   201-225  ,  Middle East Technical University  , Turkey    
   201-225  ,  Cardiff University  , UK    
   201-225  ,  St George’s - University of London  , UK    
   201-225  ,  University of Dundee  , UK    
   201-225  ,  University of Strasbourg  , France    
   226-250  ,  Université Libre de Bruxelles  , Belgium    
   226-250  ,  University of Würzburg  , Germany    
   226-250  ,  Technical University of Darmstadt  , Germany    
   226-250  ,  Mines ParisTech  , France    
   226-250  ,  University of Bergen  , Norway    
   226-250  ,  Chalmers University of Technology  , Sweden    
   226-250  ,  Bilkent University  , Turkey    
   226-250  ,  Koc University  , Turkey    
   226-250  ,  National Research Nuclear University  , Russia    
   251-275  ,  Vienna University of Technology  , Austria    
   251-275  ,  University of Kiel  , Germany    
   251-275  ,  University of Münster  , Germany    
   251-275  ,  University of Iceland  , Iceland    
   251-275  ,  University of Milan  , Italy    
   251-275  ,  University of Milan - Bicocca  , Italy    
   251-275  ,  University of Trieste  , Italy    
   251-275  ,  Norwegian University of Science and Technology  , Norway    
   251-275  ,  Umea University  , Sweden    
   251-275  ,  University of Essex  , UK    
   251-275  ,  Aalto University  , Finland    
   276-300  ,  University of Bochum  , Germany    
   276-300  ,  Technical University of Dresden  , Germany    
   276-300  ,  University of Bayreuth  , Germany    
   276-300  ,  University of Bielefeld  , Germany    
   276-300  ,  University of Southern Denmark  , Denmark    
   276-300  ,  University of Montpellier II  , France    
   276-300  ,  University of Bologna  , Italy    
   276-300  ,  University of Trento  , Italy    
   276-300  ,  University of Turin  , Italy    
   276-300  ,  Swedish University of Agricultural Sciences  , Sweden    
   276-300  ,  Bogazici University  , Turkey    
   276-300  ,  Istanbul Technical University  , Turkey    
   276-300  ,  Queen&rsquo;s University Belfast  , UK    
   276-300  ,  University of Bath  , UK    
   276-300  ,  Aberystwyth University  , UK    
   276-300  ,  Bangor University  , UK    
   301-350  ,  University of Linz  , Austria    
   301-350  ,  Medical University of Vienna  , Austria    
   301-350  ,  University of Graz  , Austria    
   301-350  ,  Vrije Universiteit Brussel  , Belgium    
   301-350  ,  University of Fribourg  , Switzerland    
   301-350  ,  Charles University Prague  , Czech Republic    
   301-350  ,  Autonomous University of Madrid  , Spain    
   301-350  ,  University of Tampere  , Finland    
   301-350  ,  University Claude Bernard - Lyon I  , France    
   301-350  ,  University of Crete  , Greece    
   301-350  ,  National University of Ireland - Galway  , Ireland    
