# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2015
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   3  ,  University of Oxford  , UK    
   120  ,  University Paris Sud (Paris XI)  , France    
   121  ,  Technical University of Denmark  , Denmark    
   121  ,  University of Sheffield  , UK    
   126  ,  KTH - Royal Institute of Technology  , Sweden    
   131  ,  University of Lancaster  , UK    
   132  ,  University of Bern  , Switzerland    
   132  ,  University of Southampton  , UK    
   135  ,  Technical University of Dresden  , Germany    
   136  ,  University of Lausanne  , Switzerland    
   136  ,  VU University Amsterdam  , Netherlands    
   138  ,  Trinity College Dublin  , Ireland    
   139  ,  Bogazici University  , Turkey    
   140  ,  Radboud University of Nijmegen  , Netherlands    
   144  ,  Eindhoven University of Technology  , Netherlands    
   146  ,  University of Leeds  , UK    
   148  ,  University of Birmingham  , UK    
   153  ,  Aarhus University  , Denmark    
   154  ,  University of Exeter  , UK    
   156  ,  RWTH Aachen University  , Germany    
   157  ,  University of Liverpool  , UK    
   160  ,  University of Copenhagen  , Denmark    
   160  ,  Ecole Normale Supérieure de Lyon  , France    
   163  ,  University of Freiburg  , Germany    
   165  ,  University Pompeu Fabra  , Spain    
   165  ,  Istanbul Technical University  , Turkey    
   165  ,  Karlsruhe Institute of Technology  , Germany    
   170  ,  University of Antwerp  , Belgium    
   171  ,  Catholic University of Louvain  , Belgium    
   171  ,  University of Nottingham  , UK    
   178  ,  University Joseph Fourier - Grenoble I  , France    
   178  ,  University of Aberdeen  , UK    
   180  ,  University Denis Diderot (Paris VII)  , France    
   182  ,  University of Vienna  , Austria    
   186  ,  University of Oslo  , Norway    
   188  ,  Tel Aviv University  , Israel    
   195  ,  University of Bonn  , Germany    
   196  ,  Moscow State University  , Russia    
   196  ,  St George’s - University of London  , UK    
   198  ,  University of East Anglia  , UK    
   199  ,  University of Leicester  , UK    
   201-225  ,  University of Innsbruck  , Austria    
   201-225  ,  Université Libre de Bruxelles  , Belgium    
   201-225  ,  University of Frankfurt am Main  , Germany    
   201-225  ,  University of Ulm  , Germany    
   201-225  ,  University of Barcelona  , Spain    
   201-225  ,  Hebrew University of Jerusalem  , Israel    
   201-225  ,  Technion - Israel Institute of Technology  , Israel    
   201-225  ,  University of Trieste  , Italy    
   201-225  ,  University of Twente  , Netherlands    
   201-225  ,  University of Bergen  , Norway    
   201-225  ,  Bilkent University  , Turkey    
   201-225  ,  Cardiff University  , UK    
   201-225  ,  University of Dundee  , UK    
   201-225  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   201-225  ,  University of Reading  , UK    
   201-225  ,  University of Strasbourg  , France    
   226-250  ,  Vienna University of Technology  , Austria    
   226-250  ,  University of Würzburg  , Germany    
   226-250  ,  University of Kiel  , Germany    
   226-250  ,  Technical University of Berlin  , Germany    
   226-250  ,  University of Konstanz  , Germany    
   226-250  ,  Autonomous University of Barcelona  , Spain    
   226-250  ,  Mines ParisTech  , France    
   226-250  ,  University College Dublin  , Ireland    
   226-250  ,  University of Milan - Bicocca  , Italy    
   226-250  ,  Göteborg University  , Sweden    
   226-250  ,  Birkbeck - University of London  , UK    
   226-250  ,  Brunel University  , UK    
   251-275  ,  Medical University of Vienna  , Austria    
   251-275  ,  Technical University of Darmstadt  , Germany    
   251-275  ,  University of Bremen  , Germany    
   251-275  ,  University of Münster  , Germany    
   251-275  ,  National University of Ireland - Galway  , Ireland    
   251-275  ,  University of Iceland  , Iceland    
   251-275  ,  University of Salento  , Italy    
   251-275  ,  University of Pavia  , Italy    
   251-275  ,  University of Trento  , Italy    
   251-275  ,  University of Turin  , Italy    
   251-275  ,  Swedish University of Agricultural Sciences  , Sweden    
   251-275  ,  Queen&rsquo;s University Belfast  , UK    
   251-275  ,  Aalto University  , Finland    
   276-300  ,  University of Fribourg  , Switzerland    
   276-300  ,  University of Erlangen-Nürnberg  , Germany    
   276-300  ,  Lappeenranta University of Technology  , Finland    
   276-300  ,  University of Montpellier II  , France    
   276-300  ,  University College Cork  , Ireland    
   276-300  ,  University of Bologna  , Italy    
   276-300  ,  University of Milan  , Italy    
   276-300  ,  Tilburg University  , Netherlands    
   276-300  ,  Norwegian University of Science and Technology  , Norway    
   276-300  ,  Chalmers University of Technology  , Sweden    
   276-300  ,  University of Plymouth  , UK    
   301-350  ,  Charles University Prague  , Czech Republic    
   301-350  ,  University of Duisburg-Essen  , Germany    
   301-350  ,  University of Cologne  , Germany    
   301-350  ,  University of Stuttgart  , Germany    
   301-350  ,  University of Southern Denmark  , Denmark    
   301-350  ,  Autonomous University of Madrid  , Spain    
   301-350  ,  University of Valencia  , Spain    
   301-350  ,  University of Tampere  , Finland    
   301-350  ,  University of Crete  , Greece    
   301-350  ,  Polytechnic University of Milan  , Italy    
   301-350  ,  University of Padua  , Italy    
   301-350  ,  University of Pisa  , Italy    
   301-350  ,  University of Rome - La Sapienza  , Italy    
   301-350  ,  University of Warsaw  , Poland    
   301-350  ,  Novosibirsk State University  , Russia    
   301-350  ,  Koc University  , Turkey    
   301-350  ,  University of Bath  , UK    
   301-350  ,  University of Essex  , UK    
   301-350  ,  University of Stirling  , UK    
   301-350  ,  Bangor University  , UK    
   301-350  ,  University of Jyvaskyla  , Finland    
   351-400  ,  University of Graz  , Austria    
   351-400  ,  University of Liège  , Belgium    
   351-400  ,  Vrije Universiteit Brussel  , Belgium    
   351-400  ,  University of Bochum  , Germany    
   351-400  ,  University of Bayreuth  , Germany    
   351-400  ,  University of Bielefeld  , Germany    
   351-400  ,  Aalborg University  , Denmark    
   351-400  ,  University of Navarra  , Spain    
   351-400  ,  University of Turku  , Finland    
   351-400  ,  University Claude Bernard - Lyon I  , France    
   351-400  ,  Royal College of Surgeons  , Ireland    
   351-400  ,  Roma Tre University  , Italy    
   351-400  ,  University of Bari  , Italy    
   351-400  ,  University of Ferrara  , Italy    
   351-400  ,  University of Florence  , Italy    
   351-400  ,  University of Lisbon  , Portugal    
   351-400  ,  University of Minho  , Portugal    
   351-400  ,  Linkoping University  , Sweden    
   351-400  ,  Umea University  , Sweden    
   351-400  ,  Aston University  , UK    
   351-400  ,  University of Hertfordshire  , UK    
   351-400  ,  University of Portsmouth  , UK    
   351-400  ,  Aberystwyth University  , UK    
   351-400  ,  University of Eastern Finland  , Finland    
   351-400  ,  Uit the Arctic University of Norway  , Norway    
