# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2014
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   2  ,  University of Oxford  , UK    
   7  ,  University of Cambridge  , UK    
   10  ,  Imperial College London  , UK    
   14  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   21  ,  University College London  , UK    
   32  ,  London School of Economics  , UK    
   36  ,  Karolinska Institute  , Sweden    
   37  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   38  ,  King&rsquo;s College London  , UK    
   39  ,  University of Edinburgh  , UK    
   55  ,  University of München  , Germany    
   58  ,  University of Manchester  , UK    
   61  ,  Catholic University of Leuven  , Belgium    
   63  ,  University of Göttingen  , Germany    
   65  ,  Ecole Normale Supérieure de Paris  , France    
   67  ,  University of Leiden  , Netherlands    
   68  ,  University of Heidelberg  , Germany    
   69  ,  Delft University of Technology  , Netherlands    
   70  ,  Ecole Polytechnique  , France    
   73  ,  Erasmus University Rotterdam  , Netherlands    
   74  ,  University of Basel  , Switzerland    
   74  ,  Utrecht University  , Netherlands    
   77  ,  Wageningen University & Research Center  , Netherlands    
   79  ,  University of Bristol  , UK    
   80  ,  University of Durham  , UK    
   83  ,  University of Amsterdam  , Netherlands    
   85  ,  University of Gent  , Belgium    
   86  ,  Free University of Berlin  , Germany    
   87  ,  Technical University of München  , Germany    
   94  ,  Humboldt University of Berlin  , Germany    
   96  ,  University Pierre et Marie Curie (Paris VI)  , France    
   98  ,  University of Groningen  , Netherlands    
   98  ,  University of Maastricht  , Netherlands    
   100  ,  University of Helsinki  , Finland    
   100  ,  University of York  , UK    
   102  ,  Royal Holloway - University of London  , UK    
   103  ,  Stockholm University  , Sweden    
   106  ,  Eindhoven University of Technology  , Netherlands    
   111  ,  Uppsala University  , Sweden    
   112  ,  University of Sheffield  , UK    
   114  ,  University Paris Sud (Paris XI)  , France    
   114  ,  Queen Mary - University of London  , UK    
   117  ,  Technical University of Denmark  , Denmark    
   117  ,  KTH - Royal Institute of Technology  , Sweden    
   117  ,  University of Glasgow  , UK    
   117  ,  University of St. Andrews  , UK    
   121  ,  University of Sussex  , UK    
   121  ,  University of Zurich  , Switzerland    
   123  ,  Lund University  , Sweden    
   124  ,  University of Geneva  , Switzerland    
   129  ,  Trinity College Dublin  , Ireland    
   129  ,  RWTH Aachen University  , Germany    
   131  ,  Radboud University of Nijmegen  , Netherlands    
   132  ,  University of Lausanne  , Switzerland    
   137  ,  University of Lancaster  , UK    
   138  ,  Aarhus University  , Denmark    
   139  ,  University of Leeds  , UK    
   141  ,  University of Warwick  , UK    
   144  ,  VU University Amsterdam  , Netherlands    
   146  ,  University of Southampton  , UK    
   148  ,  University of Exeter  , UK    
   150  ,  University of Copenhagen  , Denmark    
   152  ,  University of Freiburg  , Germany    
   153  ,  University of Birmingham  , UK    
   154  ,  Karlsruhe Institute of Technology  , Germany    
   155  ,  University Joseph Fourier - Grenoble I  , France    
   156  ,  Ecole Normale Supérieure de Lyon  , France    
   157  ,  University of Bern  , Switzerland    
   157  ,  University of Nottingham  , UK    
   161  ,  University College Dublin  , Ireland    
   161  ,  University of Leicester  , UK    
   164  ,  University of Antwerp  , Belgium    
   164  ,  University Pompeu Fabra  , Spain    
   169  ,  University of Liverpool  , UK    
   170  ,  University of Vienna  , Austria    
   170  ,  University of Twente  , Netherlands    
   172  ,  Catholic University of Louvain  , Belgium    
